"","Species","LMA","leaf_area","seed_mass","plant_height","restr_meanCVp","mean_CVp","SLA","P50","LeafN","height","wood_density","wood_genus","Genus","wood_density_imp","Height"
"1","Abies alba",106.0445387,32.42,62.0067,42.07407505,0.940264477173776,0.937960689405959,6.161654719,-4.01,13.15,55.15,0.35301,0.371310153846154,"Abies",0.35301,55.15
"2","Abies grandis",212.7659574,180,17.579,54.9171867,NA,1.5145534966584,12.07902657,-3.5,13.71,50.1,0.35,0.371310153846154,"Abies",0.35,50.1
"3","Abies lasiocarpa",276.0069609,35.04,12.6603,26.65503063,1.7752596381797,1.79636933203782,13.29271656,-2.95,14.34,26.43,0.31,0.371310153846154,"Abies",0.31,26.43
"4","Abies mariesii",171.652897095714,65.5083333333333,24.9162,30,NA,NA,11.3181536,-3.87,10.84,51.27,NA,0.371310153846154,"Abies",0.371310153846154,51.27
"5","Acacia suaveolens",222.1881202,297.71,29.7036,1.194321512,NA,NA,7.13879747486966,-1.99238202247191,23.1934831460674,10.934808988764,NA,0.774212149725888,"Acacia",0.774212149725888,10.934808988764
"6","Acer rubrum",58.65691012,2989.66,21.9339,14.11947709,NA,1.20131116727301,21.92203702,-2.51,17.98,28.16,0.49,0.537951777777778,"Acer",0.49,28.16
"7","Acer saccharum",46.15083,4735.7,52.8034,32.93491878,1.64844992019291,1.63573893154318,32.69529152,-2.61,21.82,29.22,0.56,0.537951777777778,"Acer",0.56,29.22
"8","Agathis ovata",179.2114695,1107.566,104.48805,25,NA,NA,7.934791512,-2.15,10.39,32.73,NA,0.414083646277778,"Agathis",0.414083646277778,32.73
"9","Alnus hirsuta",78.55459544,3067.36125,0.5105,16.12372436,NA,NA,17.07433769,-2.11,29.5,19.53,NA,0.404859111111111,"Alnus",0.404859111111111,19.53
"10","Araucaria araucana",318.4713376,330,4203.9654,50,1.25172625634928,1.25172625634928,5.735396644,-3.43,8.09,40.04,0.518,0.476441047117647,"Araucaria",0.518,40.04
"11","Arctostaphylos uva-ursi",155.7998766,172.17,11.325,0.269174936,NA,NA,4.98242977681818,-4.81090909090909,10.1654545454545,16.0345454545455,NA,0.72,"Arctostaphylos",0.72,16.0345454545455
"12","Bertholletia excelsa",91.33414212,13723.57,6500,48.86091336,NA,0.435101243017569,13.05014221,-2.65,22.64,40.12,0.637985555555556,0.637985555555556,"Bertholletia",0.637985555555556,40.12
"13","Betula alleghaniensis",29.13299987,3174.32,0.8352,29.04358241,NA,NA,30.99695712,-2.22,25.65,26.59,0.55,0.537596857142857,"Betula",0.55,26.59
"14","Betula lenta",47.61996007,4153.06,0.7017,23.54241774,NA,NA,12.93791913,-2,21.39,20.1,0.6,0.537596857142857,"Betula",0.6,20.1
"15","Betula papyrifera",63.58402842,2536.38,0.3278,14.69789012,NA,1.9119059208418,28.90179842,-2,25.66,23.98,0.48,0.537596857142857,"Betula",0.48,23.98
"16","Betula pendula",69.70847257,1135.68,0.6869,12.02472958,0.906691122486616,0.901864060051703,19.36207291,-2.37,24.86,24.87,0.512605,0.537596857142857,"Betula",0.512605,24.87
"17","Bombax ceiba",115.4734411,2731.62,47.7477,13.99,NA,NA,13.37402772,-2.2,18.1,30.2,0.31353525,0.370239775103448,"Bombax",0.31353525,30.2
"18","Brachychiton diversifolius",81.2135022675,3019,125.6032,18,NA,NA,13.83270105,-2.81,19.77,17.54,0.38745,0.333991166666667,"Brachychiton",0.38745,17.54
"19","Bursera simaruba",75.22262985,942.22,107.85,23.25700235,NA,NA,15.62783019,-0.95,18.67,25.87,0.305,0.314,"Bursera",0.305,25.87
"20","Carya glabra",67.57267239,20323.71,3129.1216,20.83986514,NA,1.58416003072072,18.21987117,-2.09,18.44,28.23,0.66,0.607429538461538,"Carya",0.66,28.23
"21","Cassiope mertensiana",157.0165415,9.42,0.0122,0.1761658785,NA,NA,NA,NA,NA,NA,NA,NA,"Cassiope",NA,NA
"22","Cassiope tetragona",157.0165415,9.42,0.0211,0.104663514,NA,NA,NA,NA,NA,NA,NA,NA,"Cassiope",NA,NA
"23","Castanea sativa",75.49467764,7033.85,3488.8615,27.11682479,NA,NA,14.07257442,-2.51,21.62,26.73,0.463333333333333,0.510373769230769,"Castanea",0.463333333333333,26.73
"24","Cedrela odorata",45.47666394,4663.87,15.7192,29.45641448,NA,NA,26.66993157,-3.41,26.63,30.42,0.446845714285714,0.43915475862069,"Cedrela",0.446845714285714,30.42
"25","Cedrus atlantica",128.3664198,26.53,65.5677,44.72135955,NA,NA,16.35162943,-5.54,11.18,34.92,0.44,0.455,"Cedrus",0.44,34.92
"26","Corylus avellana",62.64605486,3860.22,887.8259,3.929158599,NA,NA,18.29416968,-1.94,22.97,7.75,0.5166,0.549796333333333,"Corylus",0.5166,7.75
"27","Dacrydium cupressinum",109.3189339,3.8,6.1219,30.83173592,NA,1.20411381657476,3.440198998,-3.89,10.41,53.19,0.589,0.568750214285714,"Dacrydium",0.589,53.19
"28","Empetrum nigrum",124.7974416,4.8,0.9796,0.213461056,NA,0.872460910144427,NA,NA,NA,NA,NA,NA,"Empetrum",NA,NA
"29","Fagus crenata",98.7219264,2557.29333333333,141.9659,30,1.54609119345592,1.54574233788663,33.88677951,-2.57,22.48,28,0.55104,0.590977888888889,"Fagus",0.55104,28
"30","Fagus grandifolia",55.35129373,3534.3,261.2409,30.02977752,1.26217400974049,1.2309531027757,34.21486484,-2.57,25.2,29.46,0.56,0.590977888888889,"Fagus",0.56,29.46
"31","Fagus sylvatica",65.36699387,2061.6,186.9854,31.47720679,1.24427111568935,1.24383804030422,33.79200754,-2.7,23.7,33.09,0.58548,0.590977888888889,"Fagus",0.58548,33.09
"32","Fouquieria splendens",50.01140843,106.61,52.0198,3.04,NA,NA,19.9394862733333,-1.93888888888889,18.0577777777778,17.41,NA,NA,"Fouquieria",NA,17.41
"33","Fraxinus americana",45.47791443,6038.35545454545,38.116,12.70662413,NA,1.55876703102858,25.6314038,-1.92,24.37,27.74,0.55,0.545158235294118,"Fraxinus",0.55,27.74
"34","Fraxinus excelsior",75.23566573,1683.18,56.7064,23.11558894,NA,1.29740495208218,17.30200784,-2.8,23.22,32.79,0.569766666666667,0.545158235294118,"Fraxinus",0.569766666666667,32.79
"35","Fraxinus ornus",60.9392523425,6202.96,24.8463,7.93935919,NA,NA,17.50998998,-2.36,18.19,18.14,NA,0.545158235294118,"Fraxinus",0.545158235294118,18.14
"36","Ilex aquifolium",150.3034868,1540.35,29.9253,6.343767334,NA,NA,7.688068228,-5.17,14.8,14.67,0.65,0.558455234375,"Ilex",0.65,14.67
"37","Jacaranda copaia",77.46906223,1368.99,5.1018,37.76782611,NA,NA,21.30379133,-3.42,26.27,33.72,0.3506708922,0.413291549392857,"Jacaranda",0.3506708922,33.72
"38","Juglans regia",71.37553702,3742.83,8495.0278,19.62400375,NA,NA,16.00642576,-2.09,22.03,26.42,0.558228666666667,0.4840125,"Juglans",0.558228666666667,26.42
"39","Juniperus thurifera",382.173516127778,18.5971428571429,30.5,15,NA,1.85918743644106,3.500392855,-8.85,14.64,17.71,0.53,0.482980818181818,"Juniperus",0.53,17.71
"40","Larix sibirica",88.06214447875,7,9.8217,35.67621345,NA,1.02250746629284,15.70168484,-3.53,18.09,32.01,0.4678715,0.463240210526316,"Larix",0.4678715,32.01
"41","Liquidambar styraciflua",68.5210102,6262.91,5.1485,13.84651972,NA,NA,15.90008605,-2.39,15.85,28.73,0.46,0.515583222222222,"Liquidambar",0.46,28.73
