"","replicate_site","lat","lon","vpd"
"1","BCEF",35.5,-82.6,0.585405701754386
"2","Babia Gora",49.586231,19.51805,0.267280701754386
"3","Rio de Janeiro",-22.535789,-43.354153,0.470296052631579
"4","Alexanda Fiord",78.870415,-75.836398,0.0271600877192982
"5","Boulder Canyon",39.99924,-105.386897,0.699353070175439
"6","Quebec",55.034722,-75.713056,0.204649122807017
"7","Hakkoda Mountains",40.65,140.85,0.277275219298246
"8","Agder County",58.497505,7.798809,0.297061403508772
"9","Patagonia (10 sites)",-39,-71,0.643739035087719
"10","Travignolo Valley",46.18,11.45,0.292719298245614
"11","Saanichton",48.609174,-123.437945,0.32516447368421
"12","Harihari",-43.066667,170.45,0.365460526315789
"13","Monteverde",10.30418,-84.794525,0.395997807017544
"14","Valladolid",41.5,-4.4,0.682609649122807
"15","Avila",40.3,-4.6,0.706962719298246
"16","Sierra de Guara (Huesca)",42.2,-0.4,0.970241228070175
"17","Pyrenees (Huesca)",42.9,-0.8,0.40858552631579
"18","Iscar",41.336667,-4.506389,0.713739035087719
"19","Tordesillas",41.504722,-4.957222,0.717456140350877
"20","Portillo",41.426389,-4.575833,0.714813596491228
"21","La Pedraja de Portillo",41.490556,-4.724167,0.725131578947368
"22","Nava del Rey",41.4425,-5.057222,0.71672149122807
"23","Spanish Northern Plateau",41.341667,-4.084167,0.691260964912281
"24","California",36.383333,-121.55,0.780855263157895
"25","Yeste",38.377741,-2.329579,1.01131578947368
"26","Calasparra",38.23284,-1.659697,1.02899122807018
"27","Mount Ventoux",44.118056,5.343889,0.537719298245614
"28","Kluane Lake",61.01,-138.24,0.274342105263158
"29","Floen",55.496794,13.731306,0.250328947368421
"30","Frodeparken",56.859459,12.842793,0.247401315789474
"31","Hultabugget",56.552402,13.217318,0.249945175438597
"32","Skarhult",55.809319,13.369122,0.29547149122807
"33","Trolleholm",55.9194,13.269013,0.278837719298246
"34","RY",56.170747,14.563229,0.243322368421053
"35","Halland",57.2,12.4,0.246578947368421
"36","Naeba Mo. 900m",36.893861,138.767083,0.350690789473684
"37","Naeba Mo. 1500m",36.893861,138.767083,0.350690789473684
"38","Ontario",47.612753,-84.856022,0.280970394736842
"39","Escambia",31.0091,-87.0825,0.828146929824561
"40","Kisatchie",31.0249,-92.6359,0.842160087719298
"41","Bladen Lakes",34.729,-78.5315,0.740164473684211
"42","multiple (over 10) Extremadura",50,10,0.733059210526316
"43","Hortenkopf",49.270121,7.827421,0.322894736842105
"44","Neuhausel",50.42,7.73,0.318640350877193
"45","Herdorf",50.76,7.9,0.339199561403509
"46","Leisel",49.74,7.19,0.276524122807017
"47","Wascheid",50.26,6.37,0.264462719298246
"48","Pine Barrens",39.916111,-74.598611,0.56859649122807
"49","Rocky Mountains (n=15)",38.785331,-106.657861,0.452313596491228
"50","Valencia (popB)",40.039491,-1.140907,0.776776315789474
"51","Asiu Forest",35.301179,135.715644,0.403092105263158
"52","Flint Creek",46.2,-113.3,0.561337719298246
"53","BLSF",34.7375,-78.539722,0.740164473684211
"54","JLSP",34.703611,-78.619444,0.753980263157895
"55","SHSF",34.545278,-79.969722,0.844714912280702
"56","Huerto Ramirez",37.524658,-7.363521,0.917094298245614
"57","San Bartolome",37.438881,-7.112327,0.886491228070175
"58","BCI",9.160642,-79.844333,0.615427631578947
"59","Huesca",42.14,-0.27,0.972434210526316
"60","Asturias",43.16,-4.59,0.46078947368421
"61","Basel",47,7.5,0.385953947368421
"62","various (19 sites)",54,12,0.300751096491228
"63","multiple",51,10,0.483064692982456
"64","Sierra del Cerezo",38.257578,-1.895531,0.979780701754386
"65","Rahue (growth)/6 sites(seeds)",-39.394306,-70.795444,0.621864035087719
"66","Hakkoda Mountains",40.39,140.52,0.277275219298246
"67","Honshu",36.51,138.46,0.38640350877193
"68","England",52,0,0.313031798245614
"69","Hastings Reservation",36.37932,-121.563592,0.780855263157895
"70","Paneveggio (1500m)",46.18,11.38,0.270032894736842
"71","Paneveggio (1700m)",46.18,11.38,0.270032894736842
"72","Paneveggio (1900m)",46.18,11.38,0.270032894736842
"73","UKJ",51.2,-0.6,0.347203947368421
"74","SE2",57.8,14.3,0.256798245614035
"75","DE1",48.6,9.1,0.341140350877193
"76","PL4",52.5,16.3,0.375888157894737
"77","PL6",53.8,19.4,0.318300438596491
"78","DE8",54,13,0.299665570175439
"79","DEA",51.1,7.9,0.316589912280702
"80","DEB",49.7,7.2,0.292916666666667
"81","DE7",51.1,9.2,0.335328947368421
